t,x,y,pressure,source
0,100.000,350.000,0.1500,sample
20,113.333,376.804,0.1521,sample
40,126.667,402.002,0.1582,sample
60,140.000,424.525,0.1684,sample
80,153.333,443.442,0.1824,sample
100,166.667,457.989,0.2002,sample
120,180.000,467.607,0.2216,sample
140,193.333,471.962,0.2463,sample
160,206.667,470.950,0.2741,sample
180,220.000,464.704,0.3046,sample
200,233.333,453.582,0.3375,sample
220,246.667,438.147,0.3725,sample
240,260.000,419.141,0.4091,sample
260,273.333,397.447,0.4470,sample
280,286.667,374.052,0.4858,sample
300,300.000,350.000,0.5250,sample
320,313.333,326.345,0.5642,sample
340,326.667,304.109,0.6030,sample
360,340.000,284.232,0.6409,sample
380,353.333,267.538,0.6775,sample
400,366.667,254.700,0.7125,sample
420,380.000,246.212,0.7454,sample
440,393.333,242.369,0.7759,sample
460,406.667,243.262,0.8037,sample
480,420.000,248.774,0.8284,sample
500,433.333,258.590,0.8498,sample
520,446.667,272.211,0.8676,sample
540,460.000,288.984,0.8816,sample
560,473.333,308.128,0.8918,sample
580,486.667,328.774,0.8979,sample
600,500.000,350.000,0.9000,sample
620,513.333,370.875,0.8979,sample
640,526.667,390.499,0.8918,sample
660,540.000,408.040,0.8816,sample
680,553.333,422.772,0.8676,sample
700,566.667,434.102,0.8498,sample
720,580.000,441.593,0.8284,sample
740,593.333,444.984,0.8037,sample
760,606.667,444.196,0.7759,sample
780,620.000,439.331,0.7454,sample
800,633.333,430.669,0.7125,sample
820,646.667,418.649,0.6775,sample
840,660.000,403.847,0.6409,sample
860,673.333,386.952,0.6030,sample
880,686.667,368.732,0.5642,sample
900,700.000,350.000,0.5250,sample
920,713.333,331.578,0.4858,sample
940,726.667,314.260,0.4470,sample
960,740.000,298.779,0.4091,sample
980,753.333,285.779,0.3725,sample
1000,766.667,275.781,0.3375,sample
1020,780.000,269.170,0.3046,sample
1040,793.333,266.177,0.2741,sample
1060,806.667,266.873,0.2463,sample
1080,820.000,271.165,0.2216,sample
1100,833.333,278.809,0.2002,sample
1120,846.667,289.418,0.1824,sample
1140,860.000,302.480,0.1684,sample
1160,873.333,317.390,0.1582,sample
1180,886.667,333.469,0.1521,sample
1200,900.000,350.000,0.1500,sample
